sku,name,published,price_status,cost_status,stock_status,image_status,supplier_status,shipping_status,readiness,blocker_reason
NP-ACC-013,Estuche para aerocámara,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-NLM-014,Solución salina nasal,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-TRP-015,Ejercitador respiratorio / PEP conceptual,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,BLOCKER_NO_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; no sellable stock; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-ACC-016,Filtros de repuesto para nebulizador,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-ACC-017,Manguera estándar para nebulizador,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-NLM-018,Irrigador nasal adulto,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-ACC-019,Boquilla de repuesto para Peak Flow,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-ACC-020,Válvula de repuesto para aerocámara,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,BLOCKER_NO_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; no sellable stock; image not productionApproved (pending); temporary SKU; conceptual/demo copy
NP-NEU-022,Mascarilla adulto para nebulización,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COST_NULL,IMPORTANT_DEMO_OR_TEMPORARY_STOCK,BLOCKER_UNAPPROVED_PENDING_IMAGE,IMPORTANT_supplier missing;manufacturer pending,IMPORTANT_SHIPPING_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder price; image not productionApproved (pending); temporary SKU; conceptual/demo copy
BUNDLE:kit-primer-inhalador,Kit primer inhalador,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COMPONENT_COSTS_REQUIRED,IMPORTANT_COMPONENT_STOCK_DERIVED,BLOCKER_MISSING_IMAGE,IMPORTANT_COMPONENT_SUPPLIERS_REQUIRED,IMPORTANT_BUNDLE_DIMENSIONS_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder bundle price; bundle image missing; conceptual bundle copy
BUNDLE:kit-control-asma,Kit de apoyo para control respiratorio,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COMPONENT_COSTS_REQUIRED,IMPORTANT_COMPONENT_STOCK_DERIVED,BLOCKER_MISSING_IMAGE,IMPORTANT_COMPONENT_SUPPLIERS_REQUIRED,IMPORTANT_BUNDLE_DIMENSIONS_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder bundle price; bundle image missing; conceptual bundle copy
BUNDLE:kit-nebulizacion-pediatrica,Kit nebulización pediátrica,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COMPONENT_COSTS_REQUIRED,IMPORTANT_COMPONENT_STOCK_DERIVED,BLOCKER_MISSING_IMAGE,IMPORTANT_COMPONENT_SUPPLIERS_REQUIRED,IMPORTANT_BUNDLE_DIMENSIONS_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder bundle price; bundle image missing; conceptual bundle copy
BUNDLE:kit-higiene-nasal,Kit higiene nasal,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COMPONENT_COSTS_REQUIRED,IMPORTANT_COMPONENT_STOCK_DERIVED,OK,IMPORTANT_COMPONENT_SUPPLIERS_REQUIRED,IMPORTANT_BUNDLE_DIMENSIONS_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder bundle price; conceptual bundle copy
BUNDLE:kit-viaje-respiratorio,Kit viaje respiratorio,true,BLOCKER_PLACEHOLDER_PRICE,IMPORTANT_COMPONENT_COSTS_REQUIRED,IMPORTANT_COMPONENT_STOCK_DERIVED,BLOCKER_MISSING_IMAGE,IMPORTANT_COMPONENT_SUPPLIERS_REQUIRED,IMPORTANT_BUNDLE_DIMENSIONS_INCOMPLETE,HIDE BEFORE LAUNCH,placeholder bundle price; bundle image missing; conceptual bundle copy
